country,year,gni_per_capita,population,life_expectancy
Canada,2001,33800.0,31000000.0,79.6
United States,2001,53900.0,285000000.0,77.1
Canada,2002,34400.0,31300000.0,79.8
United States,2002,54400.0,288000000.0,77.2
Canada,2003,36000.0,31600000.0,80.0
United States,2003,55400.0,291000000.0,77.3
Canada,2004,39200.0,31900000.0,80.2
United States,2004,57000.0,294000000.0,77.7
Canada,2005,44100.0,32200000.000000004,80.4
United States,2005,58500.0,297000000.0,77.7
Canada,2006,47900.0,32500000.0,80.7
United States,2006,59600.0,300000000.0,78.0
Canada,2007,53400.0,32900000.0,80.9
United States,2007,60100.0,303000000.0,78.2
Canada,2008,55300.0,33200000.000000004,81.1
United States,2008,59500.0,306000000.0,78.4
Canada,2009,51900.0,33600000.0,81.4
United States,2009,57500.0,309000000.0,78.6
Canada,2010,52900.0,34000000.0,81.6
United States,2010,58400.0,311000000.0,78.9
Canada,2011,54900.0,34300000.0,81.9
United States,2011,58900.0,314000000.0,78.9
Canada,2012,57900.0,34700000.0,82.0
United States,2012,59800.0,317000000.0,79.0
Canada,2013,59200.0,35100000.0,82.1
United States,2013,60500.0,319000000.0,79.1
Canada,2014,57600.0,35400000.0,82.2
United States,2014,61600.0,322000000.0,79.1
Canada,2015,52900.0,35700000.0,82.3
United States,2015,62900.0,325000000.0,79.0
Canada,2016,48800.0,36100000.0,82.3
United States,2016,63500.0,327000000.0,78.9
Canada,2017,46800.0,36600000.0,82.4
United States,2017,64599.99999999999,330000000.0,79.0
Canada,2018,46800.0,37000000.0,82.2
United States,2018,66100.0,332000000.0,79.0
Canada,2019,47300.0,37500000.0,82.2
United States,2019,67200.0,334000000.0,78.9
Canada,2020,43500.0,37900000.0,81.5
United States,2020,64500.0,336000000.0,77.0
Canada,2021,45400.0,38200000.0,82.5
United States,2021,68300.0,337000000.0,79.0
Canada,2022,47000.0,38500000.0,82.6
United States,2022,70300.0,338000000.0,79.1
Canada,2023,47500.0,38800000.0,82.8
United States,2023,70900.0,340000000.0,79.2
Canada,2024,47700.0,39100000.0,82.9
United States,2024,71500.0,342000000.0,79.3
Canada,2025,47900.0,39400000.0,83.1
United States,2025,72200.0,344000000.0,79.5
Canada,2026,48100.0,39800000.0,83.2
United States,2026,73000.0,345000000.0,79.6
Canada,2027,48400.0,40100000.0,83.4
United States,2027,73800.0,347000000.0,79.8
Canada,2028,48800.0,40400000.0,83.5
United States,2028,74700.0,349000000.0,80.0
Canada,2029,49300.0,40700000.0,83.7
United States,2029,75700.0,350000000.0,80.2
Canada,2030,50000.0,41000000.0,83.8
United States,2030,76900.0,352000000.0,80.5
